First Name,Employment date,Position,Date of birth,Experience (years),Salary,Credit Card Number,Place of Birth,Zip Code,Number of kids,E-Mail,Pets,Review Text
Aladdin,9/12/13,Automation QA,15/09/1972 11:55:00 AM,10,"$4,128.84",4.78072E+15,Brooksville,51793,2,lacus.Cras@luctus.ca,, A good value and some unexpected amenities. Yes the rooms are small even with a king upgrade. The Aveda bath products Italian coffee in room flat screen TV extra pillows friendly staff and wine hour make a huge difference in the enjoyment of your stay. Do you like wine? Knock back a couple glasses of decent merlot or chardonnay free between 5-6pm. That would run $10-$15 most places. Like any downtown hotel room service and parking are expensive. Self park for $23 and look for a deal elsewhere on the weekend. Many lots discount to $10 a day. Walk across the street to Dunkin Donuts for a $1.75 bagel and skip the $11 continental breakfast that ends up being $16 with tax and gratituity. Save your cash for dinner. I paid $84 a night and have already booked 3 more nights for the end of September. Can't beat it for the price and the decor is very cool also.
Rajah,8/31/14,Junior Developer,15/10/1965 12:00:00 PM,3,"$4,444.79",4.5131E+15,Brownsboro,66965,2,Sed.diam.lorem@maurisIntegersem.ca,, After several months of planning and research to find the perfect London hotel 41 was what I hoped it would be and more. This was a birthday trip to mother and sister and I wanted everything to be as perfect as possible. Chantal the resident manager made it all happen with the most warm and personal touches including balloons champagne a cake and gifts waiting in our room upon our arrival. Chantal and I had been emailing each other in the weeks preceeding the trip and I felt as if I knew her as a friend when we finally arrived.  This was by far the best hotel I have stayed at in London out of my previous 4 stays. The hotel itself is quaint yet beautiful with a cozy at-home feeling. From the street the entrance is quite inconspicuous and private which is very nice. The overall style is what I would describe as contemporary old-world style meets traditional English. The executive lounge is a large gorgeous living room type of space with multiple seating areas that are also for the morning breakfast sittings. In the evenings a well stocked bar is set up for evening cocktails. The very unconventional reception area is also here in this room as a mere executive desk with a flat screen computer monitor and two guest chairs. There's also an open loft in this room with additional seating desks and computers for business use.  The bedrooms themselves are absolutely lovely consistent with the look and feel of the rest of the hotel and very well equiped with everything you could possibly need. A web-tv type of set-up with cordless keyboard makes e-mail and internet access so very convenient. There is a fax machine mini bar cordless telephone to use anywhere in the hotel spacious closets and bathroom large enough to accomodate 3 of us ladies staying in the same room (now that is important!). There was a separate shower and bathtub and a lot of counter space.  I could go on and on about this place. Chantal and her staff could not be any more cordial and accomodating. We had originally planned to stay 4 days and 4 nights but ended up staying and extra day since we were having so much fun. Needless to say I would stay at the 41 again and again and highly recommend it!
Hu,1/8/15,Senior QA,15/10/1978 02:50:00 PM,5,"$4,550.80",4.17145E+15,Brownsboro,43068,3,malesuada.fames.ac@ut.org,Cat, After several months of planning and research to find the perfect London hotel 41 was what I hoped it would be and more. This was a birthday trip to mother and sister and I wanted everything to be as perfect as possible. Chantal the resident manager made it all happen with the most warm and personal touches including balloons champagne a cake and gifts waiting in our room upon our arrival. Chantal and I had been emailing each other in the weeks preceeding the trip and I felt as if I knew her as a friend when we finally arrived.  This was by far the best hotel I have stayed at in London out of my previous 4 stays. The hotel itself is quaint yet beautiful with a cozy at-home feeling. From the street the entrance is quite inconspicuous and private which is very nice. The overall style is what I would describe as contemporary old-world style meets traditional English. The executive lounge is a large gorgeous living room type of space with multiple seating areas that are also for the morning breakfast sittings. In the evenings a well stocked bar is set up for evening cocktails. The very unconventional reception area is also here in this room as a mere executive desk with a flat screen computer monitor and two guest chairs. There's also an open loft in this room with additional seating desks and computers for business use.  The bedrooms themselves are absolutely lovely consistent with the look and feel of the rest of the hotel and very well equiped with everything you could possibly need. A web-tv type of set-up with cordless keyboard makes e-mail and internet access so very convenient. There is a fax machine mini bar cordless telephone to use anywhere in the hotel spacious closets and bathroom large enough to accomodate 3 of us ladies staying in the same room (now that is important!). There was a separate shower and bathtub and a lot of counter space.  I could go on and on about this place. Chantal and her staff could not be any more cordial and accomodating. We had originally planned to stay 4 days and 4 nights but ended up staying and extra day since we were having so much fun. Needless to say I would stay at the 41 again and again and highly recommend it!
Cole,12/13/14,Developer,16/09/1979 01:50:00 PM,8,"$6,531.70",4.17612E+15,Bark River,70293,3,Sed.eget@tempordiam.edu,Tiger, As one who has stayed over in the city many times I have to agree with those who say that the decor strikes one as being out of the 1970s. The Queen has been supplanted by the Lowes Vogue or the Delta as the place to be in the city. The rooms aren't particularly big for a luxury hotel. The one plus to this place is a large pool and a nicely equiped gym. Like all those others expect to spend C$75/day on top of the listed price for the taxes parking and whatnot. If you aren't addicted to five star service and want the real Montreal experience I'd prefer the Chateau d'Argoat to all of them.
Talon,8/16/14,QA engineer,17/01/1982 08:50:00 AM,10,"$4,900.88",4.40871E+15,Austell,57761,1,Nam.ligula@sociisnatoque.co.uk,Rat, An absolute nightmare. The worst hotel I've ever stayed in. My room smelled of smoke (and it was a non-smoking room). There was debris from a previous guest. I checked out early the next morning and got a room in Travelodge on W. Harrison. (only the Congress could make a Travelodge look so nice in comparison).To their credit the staff was understanding and friendly
Christopher,9/28/14,Automation QA,17/02/1980 12:00:00 PM,6,"$4,320.97",5.16453E+15,Bronx,55735,2,velit@ut.co.uk,Sheep, A much needed Girls Weekend. First time in a W. Now we understand what all the rave is about! We had a ball. Super hotel! Definately different than any other place we've ever stayed. Not for all travelers though. Funky sexy chic loud music busy--fun fun fun!! So far from our lives as young moms with 3 young children at home. We traveled for a long weekend Nov. 7-11 2003. I highly recommend this hotel. GREAT STAFF-very personable and accomodating. Book it-you'll be glad you did!
Warren,6/26/14,HR Manager,17/07/1978 01:50:00 PM,5,"$4,243.29",4.11581E+15,Bronx,50166,3,amet@aliquetdiamSed.net,Cat, A much needed Girls Weekend. First time in a W. Now we understand what all the rave is about! We had a ball. Super hotel! Definately different than any other place we've ever stayed. Not for all travelers though. Funky sexy chic loud music busy--fun fun fun!! So far from our lives as young moms with 3 young children at home. We traveled for a long weekend Nov. 7-11 2003. I highly recommend this hotel. GREAT STAFF-very personable and accomodating. Book it-you'll be glad you did!
Ivan,7/4/15,Developer,17/08/1971 11:55:00 AM,8,"$4,331.73",4.90101E+15,Bussey,49748,2,Curae@metus.edu,Cat, Certainly does not have the WOW factor which it affords itself in it's own descriptions. I was completely underwhelmed.
Arthur,6/26/13,Senior Developer,18/01/1978 11:35:00 AM,7,"$4,000.58",5.14602E+15,Bronx,77789,3,ullamcorper.viverra.Maecenas@Nulla.org,, A much needed Girls Weekend. First time in a W. Now we understand what all the rave is about! We had a ball. Super hotel! Definately different than any other place we've ever stayed. Not for all travelers though. Funky sexy chic loud music busy--fun fun fun!! So far from our lives as young moms with 3 young children at home. We traveled for a long weekend Nov. 7-11 2003. I highly recommend this hotel. GREAT STAFF-very personable and accomodating. Book it-you'll be glad you did!
Chancellor,3/25/15,Junior Developer,18/11/1980 09:10:00 AM,4,"$4,004.62",5.12337E+15,Rollingbay,19014,2,libero.Proin@venenatisa.ca,Fish, As one who has stayed over in the city many times I have to agree with those who say that the decor strikes one as being out of the 1970s. The Queen has been supplanted by the Lowes Vogue or the Delta as the place to be in the city. The rooms aren't particularly big for a luxury hotel. The one plus to this place is a large pool and a nicely equiped gym. Like all those others expect to spend C$75/day on top of the listed price for the taxes parking and whatnot. If you aren't addicted to five star service and want the real Montreal experience I'd prefer the Chateau d'Argoat to all of them.
Octavius,8/28/13,Senior QA,18/12/1968 12:10:00 PM,3,"$3,327.09",4.70396E+15,Bark River,58411,2,ultrices@Nullamscelerisqueneque.ca,Tiger, After reading the reviews for many hotels in London I decided the Henty VIII combined the best service and price offerings. However I was sorely mistaken. In all objectivity it could not have been a bad hotel rooms were very clean the internet price was good for London and the continetal breakfast was pretty good.  However the desk staff including the hotel manager were very rude and condescending to me when I needed to address a problem that arose. To make a long story short the hotel added a 100 pound service fee to a phone call that should have cost less than 25 pounds (researched on British Telecom for actual price of the call) When politely questioned they at first told me the 20 minute cal I made lasted for 10 hours and that's why the call cost 130 pounds. Then they said the call lasted 261 minutes and that's why it cost 130 pounds. finally they said the call lasted 20 minutes and still cost 130 pounds.  The way they handled the explaination of the bill seems shady to me not to mention the rude way I was spoken to as though I were a dumb american.  Since they had my credit card number and security I had to sign the charge slip (though I wrote it was under duress on both copies) My Visa will be handling them now... Avoid this hotel like the plague.
Hoyt,7/23/13,Developer,18/12/1977 11:45:00 AM,4,"$2,242.29",5.13615E+15,Archbald,66992,1,lorem@nibhDonec.com,Dog, As one who has stayed over in the city many times I have to agree with those who say that the decor strikes one as being out of the 1970s. The Queen has been supplanted by the Lowes Vogue or the Delta as the place to be in the city. The rooms aren't particularly big for a luxury hotel. The one plus to this place is a large pool and a nicely equiped gym. Like all those others expect to spend C$75/day on top of the listed price for the taxes parking and whatnot. If you aren't addicted to five star service and want the real Montreal experience I'd prefer the Chateau d'Argoat to all of them.
Gil,8/30/13,Automation QA,19/03/1972 03:45:00 PM,9,"$4,890.00",4.71751E+15,Brooksville,47602,3,eu.euismod.ac@sociisnatoque.org,, A good value and some unexpected amenities. Yes the rooms are small even with a king upgrade. The Aveda bath products Italian coffee in room flat screen TV extra pillows friendly staff and wine hour make a huge difference in the enjoyment of your stay. Do you like wine? Knock back a couple glasses of decent merlot or chardonnay free between 5-6pm. That would run $10-$15 most places. Like any downtown hotel room service and parking are expensive. Self park for $23 and look for a deal elsewhere on the weekend. Many lots discount to $10 a day. Walk across the street to Dunkin Donuts for a $1.75 bagel and skip the $11 continental breakfast that ends up being $16 with tax and gratituity. Save your cash for dinner. I paid $84 a night and have already booked 3 more nights for the end of September. Can't beat it for the price and the decor is very cool also.
Lev,4/3/14,Senior QA,19/11/1982 12:35:00 PM,7,"$4,218.07",4.69781E+15,Austell,43365,2,sed.dolor.Fusce@aliquamenimnec.com,Coon, An absolute nightmare. The worst hotel I've ever stayed in. My room smelled of smoke (and it was a non-smoking room). There was debris from a previous guest. I checked out early the next morning and got a room in Travelodge on W. Harrison. (only the Congress could make a Travelodge look so nice in comparison).To their credit the staff was understanding and friendly
Ira,8/9/13,Automation QA,20/02/1983 03:35:00 PM,10,"$4,548.77",4.64626E+15,Rollingbay,63588,2,magna.Nam@ametrisusDonec.co.uk,Dog, As one who has stayed over in the city many times I have to agree with those who say that the decor strikes one as being out of the 1970s. The Queen has been supplanted by the Lowes Vogue or the Delta as the place to be in the city. The rooms aren't particularly big for a luxury hotel. The one plus to this place is a large pool and a nicely equiped gym. Like all those others expect to spend C$75/day on top of the listed price for the taxes parking and whatnot. If you aren't addicted to five star service and want the real Montreal experience I'd prefer the Chateau d'Argoat to all of them.
Phillip,4/10/14,Senior Developer,20/08/1979 10:25:00 AM,5,"$3,600.63",4.33108E+15,Rollingbay,826,3,tempus.mauris@Crassedleo.com,Dog, As one who has stayed over in the city many times I have to agree with those who say that the decor strikes one as being out of the 1970s. The Queen has been supplanted by the Lowes Vogue or the Delta as the place to be in the city. The rooms aren't particularly big for a luxury hotel. The one plus to this place is a large pool and a nicely equiped gym. Like all those others expect to spend C$75/day on top of the listed price for the taxes parking and whatnot. If you aren't addicted to five star service and want the real Montreal experience I'd prefer the Chateau d'Argoat to all of them.
Dexter,7/19/14,Senior Developer,21/03/1968 01:25:00 PM,10,"$4,700.00",4.2661E+15,Bark River,50340,2,mi.pede.nonummy@nuncsitamet.com,Frog, After reading the reviews for many hotels in London I decided the Henty VIII combined the best service and price offerings. However I was sorely mistaken. In all objectivity it could not have been a bad hotel rooms were very clean the internet price was good for London and the continetal breakfast was pretty good.  However the desk staff including the hotel manager were very rude and condescending to me when I needed to address a problem that arose. To make a long story short the hotel added a 100 pound service fee to a phone call that should have cost less than 25 pounds (researched on British Telecom for actual price of the call) When politely questioned they at first told me the 20 minute cal I made lasted for 10 hours and that's why the call cost 130 pounds. Then they said the call lasted 261 minutes and that's why it cost 130 pounds. finally they said the call lasted 20 minutes and still cost 130 pounds.  The way they handled the explaination of the bill seems shady to me not to mention the rude way I was spoken to as though I were a dumb american.  Since they had my credit card number and security I had to sign the charge slip (though I wrote it was under duress on both copies) My Visa will be handling them now... Avoid this hotel like the plague.
Hector,3/15/14,QA engineer,21/03/1983 12:00:00 PM,10,"$3,007.82",4.56388E+15,Dulles,11022,3,lobortis@felis.ca,Sheep, and the best hotel in london is the Kingsway hall hotel super location excellent staff perfect food fab rooms all in all its splendid. we will be back it helped make our stay in london fantastic.
Graham,12/27/14,Automation QA,22/05/1967 06:30:00 PM,9,"$3,336.74",5.16336E+15,Leonardville,42138,3,Nulla.aliquet@ametrisusDonec.org,, Had a great time here. The Dusty Baron show was outstanding. The chinese buffet was Excellent. Fremont St. much better than the strip. Looking forward to my next trip there.
Gage,10/13/13,Senior QA,23/02/1971 12:40:00 PM,4,"$4,116.42",4.68694E+15,Dulles,306,1,vehicula@idnunc.com,Parrot, and the best hotel in london is the Kingsway hall hotel super location excellent staff perfect food fab rooms all in all its splendid. we will be back it helped make our stay in london fantastic.
Fletcher,8/28/13,CEO,23/04/1966 03:45:00 PM,5,"$3,320.93",5.15543E+15,Austell,82486,2,amet.orci.Ut@tincidunt.com,Dog, An absolute nightmare. The worst hotel I've ever stayed in. My room smelled of smoke (and it was a non-smoking room). There was debris from a previous guest. I checked out early the next morning and got a room in Travelodge on W. Harrison. (only the Congress could make a Travelodge look so nice in comparison).To their credit the staff was understanding and friendly
Alfonso,2/26/14,Senior QA,23/04/1983 03:05:00 PM,3,"$4,453.27",4.32432E+15,Dulles,94188,2,ornare.lectus.justo@Curae.ca,Cat, and the best hotel in london is the Kingsway hall hotel super location excellent staff perfect food fab rooms all in all its splendid. we will be back it helped make our stay in london fantastic.
Brennan,6/11/15,Senior Developer,23/07/1974 11:40:00 AM,9,"$4,001.15",4.72805E+15,Bark River,88600,3,sapien@feugiatSed.ca,Turtle, After reading the reviews for many hotels in London I decided the Henty VIII combined the best service and price offerings. However I was sorely mistaken. In all objectivity it could not have been a bad hotel rooms were very clean the internet price was good for London and the continetal breakfast was pretty good.  However the desk staff including the hotel manager were very rude and condescending to me when I needed to address a problem that arose. To make a long story short the hotel added a 100 pound service fee to a phone call that should have cost less than 25 pounds (researched on British Telecom for actual price of the call) When politely questioned they at first told me the 20 minute cal I made lasted for 10 hours and that's why the call cost 130 pounds. Then they said the call lasted 261 minutes and that's why it cost 130 pounds. finally they said the call lasted 20 minutes and still cost 130 pounds.  The way they handled the explaination of the bill seems shady to me not to mention the rude way I was spoken to as though I were a dumb american.  Since they had my credit card number and security I had to sign the charge slip (though I wrote it was under duress on both copies) My Visa will be handling them now... Avoid this hotel like the plague.
Octavius,6/10/15,Senior Developer,23/08/1978 09:45:00 AM,4,"$4,200.72",5.1435E+15,Bark River,22331,1,Donec.non@dapibusgravidaAliquam.org,Possum, After reading the reviews for many hotels in London I decided the Henty VIII combined the best service and price offerings. However I was sorely mistaken. In all objectivity it could not have been a bad hotel rooms were very clean the internet price was good for London and the continetal breakfast was pretty good.  However the desk staff including the hotel manager were very rude and condescending to me when I needed to address a problem that arose. To make a long story short the hotel added a 100 pound service fee to a phone call that should have cost less than 25 pounds (researched on British Telecom for actual price of the call) When politely questioned they at first told me the 20 minute cal I made lasted for 10 hours and that's why the call cost 130 pounds. Then they said the call lasted 261 minutes and that's why it cost 130 pounds. finally they said the call lasted 20 minutes and still cost 130 pounds.  The way they handled the explaination of the bill seems shady to me not to mention the rude way I was spoken to as though I were a dumb american.  Since they had my credit card number and security I had to sign the charge slip (though I wrote it was under duress on both copies) My Visa will be handling them now... Avoid this hotel like the plague.
Xavier,7/6/13,Junior Developer,23/09/1983 09:30:00 AM,3,"$3,800.88",4.64476E+15,Brooksville,95413,1,dolor@Nunclaoreetlectus.org,Sheep, A good value and some unexpected amenities. Yes the rooms are small even with a king upgrade. The Aveda bath products Italian coffee in room flat screen TV extra pillows friendly staff and wine hour make a huge difference in the enjoyment of your stay. Do you like wine? Knock back a couple glasses of decent merlot or chardonnay free between 5-6pm. That would run $10-$15 most places. Like any downtown hotel room service and parking are expensive. Self park for $23 and look for a deal elsewhere on the weekend. Many lots discount to $10 a day. Walk across the street to Dunkin Donuts for a $1.75 bagel and skip the $11 continental breakfast that ends up being $16 with tax and gratituity. Save your cash for dinner. I paid $84 a night and have already booked 3 more nights for the end of September. Can't beat it for the price and the decor is very cool also.
Kane,4/20/15,Group Manager,24/09/1967 12:40:00 PM,5,"$4,553.05",5.19043E+15,Archbald,94284,3,nec.malesuada@antedictum.ca,Tiger, As one who has stayed over in the city many times I have to agree with those who say that the decor strikes one as being out of the 1970s. The Queen has been supplanted by the Lowes Vogue or the Delta as the place to be in the city. The rooms aren't particularly big for a luxury hotel. The one plus to this place is a large pool and a nicely equiped gym. Like all those others expect to spend C$75/day on top of the listed price for the taxes parking and whatnot. If you aren't addicted to five star service and want the real Montreal experience I'd prefer the Chateau d'Argoat to all of them.
Thor,6/9/13,Senior QA,24/10/1969 12:30:00 PM,3,"$4,431.69",4.36752E+15,Brownsboro,10265,2,arcu@nonvestibulumnec.co.uk,Possum, After several months of planning and research to find the perfect London hotel 41 was what I hoped it would be and more. This was a birthday trip to mother and sister and I wanted everything to be as perfect as possible. Chantal the resident manager made it all happen with the most warm and personal touches including balloons champagne a cake and gifts waiting in our room upon our arrival. Chantal and I had been emailing each other in the weeks preceeding the trip and I felt as if I knew her as a friend when we finally arrived.  This was by far the best hotel I have stayed at in London out of my previous 4 stays. The hotel itself is quaint yet beautiful with a cozy at-home feeling. From the street the entrance is quite inconspicuous and private which is very nice. The overall style is what I would describe as contemporary old-world style meets traditional English. The executive lounge is a large gorgeous living room type of space with multiple seating areas that are also for the morning breakfast sittings. In the evenings a well stocked bar is set up for evening cocktails. The very unconventional reception area is also here in this room as a mere executive desk with a flat screen computer monitor and two guest chairs. There's also an open loft in this room with additional seating desks and computers for business use.  The bedrooms themselves are absolutely lovely consistent with the look and feel of the rest of the hotel and very well equiped with everything you could possibly need. A web-tv type of set-up with cordless keyboard makes e-mail and internet access so very convenient. There is a fax machine mini bar cordless telephone to use anywhere in the hotel spacious closets and bathroom large enough to accomodate 3 of us ladies staying in the same room (now that is important!). There was a separate shower and bathtub and a lot of counter space.  I could go on and on about this place. Chantal and her staff could not be any more cordial and accomodating. We had originally planned to stay 4 days and 4 nights but ended up staying and extra day since we were having so much fun. Needless to say I would stay at the 41 again and again and highly recommend it!
Owen,7/14/13,QA engineer,24/10/1973 12:10:00 PM,4,"$3,008.81",4.2737E+15,Rollingbay,79269,2,tempus@pedemalesuadavel.net,Tiger, As one who has stayed over in the city many times I have to agree with those who say that the decor strikes one as being out of the 1970s. The Queen has been supplanted by the Lowes Vogue or the Delta as the place to be in the city. The rooms aren't particularly big for a luxury hotel. The one plus to this place is a large pool and a nicely equiped gym. Like all those others expect to spend C$75/day on top of the listed price for the taxes parking and whatnot. If you aren't addicted to five star service and want the real Montreal experience I'd prefer the Chateau d'Argoat to all of them.
Dean,9/27/14,Senior Developer,25/01/1969 10:50:00 AM,5,"$3,700.15",4.9699E+15,Bussey,37073,1,Sed@Morbisitamet.ca,Hamster, Certainly does not have the WOW factor which it affords itself in it's own descriptions. I was completely underwhelmed.
Marvin,7/15/14,Group Manager,25/01/1979 12:10:00 PM,8,"$4,764.58",4.73065E+15,Austell,63913,2,dolor.sit.amet@Crasdolordolor.com,Dog, An absolute nightmare. The worst hotel I've ever stayed in. My room smelled of smoke (and it was a non-smoking room). There was debris from a previous guest. I checked out early the next morning and got a room in Travelodge on W. Harrison. (only the Congress could make a Travelodge look so nice in comparison).To their credit the staff was understanding and friendly
Kyle,8/27/14,Junior Developer,25/02/1971 03:50:00 PM,9,"$4,656.09",5.16609E+15,Dulles,88267,2,luctus.ut@lobortisquama.net,Cat, and the best hotel in london is the Kingsway hall hotel super location excellent staff perfect food fab rooms all in all its splendid. we will be back it helped make our stay in london fantastic.
Evan,12/27/14,Senior Developer,25/04/1969 11:45:00 AM,6,"$3,001.02",5.15996E+15,Brownsboro,3397,1,et.rutrum.eu@egettincidunt.net,Snail, After several months of planning and research to find the perfect London hotel 41 was what I hoped it would be and more. This was a birthday trip to mother and sister and I wanted everything to be as perfect as possible. Chantal the resident manager made it all happen with the most warm and personal touches including balloons champagne a cake and gifts waiting in our room upon our arrival. Chantal and I had been emailing each other in the weeks preceeding the trip and I felt as if I knew her as a friend when we finally arrived.  This was by far the best hotel I have stayed at in London out of my previous 4 stays. The hotel itself is quaint yet beautiful with a cozy at-home feeling. From the street the entrance is quite inconspicuous and private which is very nice. The overall style is what I would describe as contemporary old-world style meets traditional English. The executive lounge is a large gorgeous living room type of space with multiple seating areas that are also for the morning breakfast sittings. In the evenings a well stocked bar is set up for evening cocktails. The very unconventional reception area is also here in this room as a mere executive desk with a flat screen computer monitor and two guest chairs. There's also an open loft in this room with additional seating desks and computers for business use.  The bedrooms themselves are absolutely lovely consistent with the look and feel of the rest of the hotel and very well equiped with everything you could possibly need. A web-tv type of set-up with cordless keyboard makes e-mail and internet access so very convenient. There is a fax machine mini bar cordless telephone to use anywhere in the hotel spacious closets and bathroom large enough to accomodate 3 of us ladies staying in the same room (now that is important!). There was a separate shower and bathtub and a lot of counter space.  I could go on and on about this place. Chantal and her staff could not be any more cordial and accomodating. We had originally planned to stay 4 days and 4 nights but ended up staying and extra day since we were having so much fun. Needless to say I would stay at the 41 again and again and highly recommend it!
Orlando,6/20/13,Senior QA,25/04/1982 12:45:00 PM,9,"$4,656.46",5.11991E+15,Austell,87260,2,sem.ut@sedest.ca,Cat, An absolute nightmare. The worst hotel I've ever stayed in. My room smelled of smoke (and it was a non-smoking room). There was debris from a previous guest. I checked out early the next morning and got a room in Travelodge on W. Harrison. (only the Congress could make a Travelodge look so nice in comparison).To their credit the staff was understanding and friendly
Beau,4/7/14,Junior Developer,25/07/1967 09:35:00 AM,6,"$3,000.91",4.81371E+15,Bronx,11713,1,Aenean.eget@montesnascetur.edu,Tiger, A much needed Girls Weekend. First time in a W. Now we understand what all the rave is about! We had a ball. Super hotel! Definately different than any other place we've ever stayed. Not for all travelers though. Funky sexy chic loud music busy--fun fun fun!! So far from our lives as young moms with 3 young children at home. We traveled for a long weekend Nov. 7-11 2003. I highly recommend this hotel. GREAT STAFF-very personable and accomodating. Book it-you'll be glad you did!
Dolan,12/24/13,QA engineer,25/07/1976 08:30:00 AM,5,"$3,600.27",4.14341E+15,Bark River,11229,3,nibh.lacinia.orci@Crasvehicula.co.uk,, After reading the reviews for many hotels in London I decided the Henty VIII combined the best service and price offerings. However I was sorely mistaken. In all objectivity it could not have been a bad hotel rooms were very clean the internet price was good for London and the continetal breakfast was pretty good.  However the desk staff including the hotel manager were very rude and condescending to me when I needed to address a problem that arose. To make a long story short the hotel added a 100 pound service fee to a phone call that should have cost less than 25 pounds (researched on British Telecom for actual price of the call) When politely questioned they at first told me the 20 minute cal I made lasted for 10 hours and that's why the call cost 130 pounds. Then they said the call lasted 261 minutes and that's why it cost 130 pounds. finally they said the call lasted 20 minutes and still cost 130 pounds.  The way they handled the explaination of the bill seems shady to me not to mention the rude way I was spoken to as though I were a dumb american.  Since they had my credit card number and security I had to sign the charge slip (though I wrote it was under duress on both copies) My Visa will be handling them now... Avoid this hotel like the plague.
Paul,3/22/14,Automation QA,25/09/1968 06:25:00 PM,3,"$3,339.74",4.73783E+15,Bussey,94476,1,sagittis.augue.eu@atortor.net,Dog, Certainly does not have the WOW factor which it affords itself in it's own descriptions. I was completely underwhelmed.
Denton,11/28/14,Junior Developer,26/05/1981 11:45:00 AM,3,"$4,663.86",4.23107E+15,Bronx,18779,2,nibh.Donec.est@adipiscing.ca,Cat, A much needed Girls Weekend. First time in a W. Now we understand what all the rave is about! We had a ball. Super hotel! Definately different than any other place we've ever stayed. Not for all travelers though. Funky sexy chic loud music busy--fun fun fun!! So far from our lives as young moms with 3 young children at home. We traveled for a long weekend Nov. 7-11 2003. I highly recommend this hotel. GREAT STAFF-very personable and accomodating. Book it-you'll be glad you did!
Gary,8/5/14,HR Manager,27/03/1972 12:45:00 PM,9,"$3,553.57",4.28786E+15,Bussey,40285,3,lobortis.mauris.Suspendisse@Curabitur.org,Possum, Certainly does not have the WOW factor which it affords itself in it's own descriptions. I was completely underwhelmed.
Jamal,4/29/15,Junior Developer,27/06/1968 05:05:00 PM,4,"$2,144.00",5.12005E+15,Archbald,47986,1,ullamcorper.eu.euismod@nulla.co.uk,Cat, As one who has stayed over in the city many times I have to agree with those who say that the decor strikes one as being out of the 1970s. The Queen has been supplanted by the Lowes Vogue or the Delta as the place to be in the city. The rooms aren't particularly big for a luxury hotel. The one plus to this place is a large pool and a nicely equiped gym. Like all those others expect to spend C$75/day on top of the listed price for the taxes parking and whatnot. If you aren't addicted to five star service and want the real Montreal experience I'd prefer the Chateau d'Argoat to all of them.
Abraham,5/20/15,Senior Developer,28/02/1983 01:00:00 PM,6,"$4,200.90",4.13573E+15,Bronx,16384,3,erat.volutpat.Nulla@nislsemconsequat.edu,Dog, A much needed Girls Weekend. First time in a W. Now we understand what all the rave is about! We had a ball. Super hotel! Definately different than any other place we've ever stayed. Not for all travelers though. Funky sexy chic loud music busy--fun fun fun!! So far from our lives as young moms with 3 young children at home. We traveled for a long weekend Nov. 7-11 2003. I highly recommend this hotel. GREAT STAFF-very personable and accomodating. Book it-you'll be glad you did!
Samuel,9/1/13,QA engineer,28/07/1971 11:55:00 AM,3,"$3,002.21",5.16876E+15,Austell,93472,3,Vestibulum.ante.ipsum@malesuadaid.com,, An absolute nightmare. The worst hotel I've ever stayed in. My room smelled of smoke (and it was a non-smoking room). There was debris from a previous guest. I checked out early the next morning and got a room in Travelodge on W. Harrison. (only the Congress could make a Travelodge look so nice in comparison).To their credit the staff was understanding and friendly
Uriel,12/11/13,Developer,28/12/1980 01:25:00 PM,4,"$4,008.36",5.15701E+15,Bronx,96525,3,justo.nec@lacus.co.uk,Sheep, As one who has stayed over in the city many times I have to agree with those who say that the decor strikes one as being out of the 1970s. The Queen has been supplanted by the Lowes Vogue or the Delta as the place to be in the city. The rooms aren't particularly big for a luxury hotel. The one plus to this place is a large pool and a nicely equiped gym. Like all those others expect to spend C$75/day on top of the listed price for the taxes parking and whatnot. If you aren't addicted to five star service and want the real Montreal experience I'd prefer the Chateau d'Argoat to all of them.
Zeph,1/11/14,Developer,29/05/1970 12:10:00 PM,8,"$4,451.82",5.1895E+15,Brooksville,18076,2,tincidunt@augueacipsum.edu,Cat, A good value and some unexpected amenities. Yes the rooms are small even with a king upgrade. The Aveda bath products Italian coffee in room flat screen TV extra pillows friendly staff and wine hour make a huge difference in the enjoyment of your stay. Do you like wine? Knock back a couple glasses of decent merlot or chardonnay free between 5-6pm. That would run $10-$15 most places. Like any downtown hotel room service and parking are expensive. Self park for $23 and look for a deal elsewhere on the weekend. Many lots discount to $10 a day. Walk across the street to Dunkin Donuts for a $1.75 bagel and skip the $11 continental breakfast that ends up being $16 with tax and gratituity. Save your cash for dinner. I paid $84 a night and have already booked 3 more nights for the end of September. Can't beat it for the price and the decor is very cool also.
Levi,9/20/15,Developer,29/07/1973 01:00:00 PM,10,"$3,800.04",4.6731E+15,Brooksville,79295,2,sed.pede.Cum@nullaante.org,, and the best hotel in london is the Kingsway hall hotel super location excellent staff perfect food fab rooms all in all its splendid. we will be back it helped make our stay in london fantastic.
Boris,8/23/13,Developer,29/08/1977 12:30:00 PM,5,"$3,777.72",4.68605E+15,Bronx,12714,3,turpis.vitae@vitaeeratvel.com,Dog, A much needed Girls Weekend. First time in a W. Now we understand what all the rave is about! We had a ball. Super hotel! Definately different than any other place we've ever stayed. Not for all travelers though. Funky sexy chic loud music busy--fun fun fun!! So far from our lives as young moms with 3 young children at home. We traveled for a long weekend Nov. 7-11 2003. I highly recommend this hotel. GREAT STAFF-very personable and accomodating. Book it-you'll be glad you did!
